loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_f1_macro,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.9586921243106618,8.331271171569824,1.702962035878181e-05,1.0,510,,,,,,,,,,,
,,,1.0,510,0.8564518690109253,0.5763268273265275,0.5941614195764167,26.6503,65.553,4.128,,,,,
0.7679935829312193,16.796863555908203,1.2774301209845642e-05,2.0,1020,,,,,,,,,,,
,,,2.0,1020,0.8726971745491028,0.5802937104073547,0.5935890097309674,26.3406,66.324,4.176,,,,,
0.5507549809474571,11.735625267028809,8.51898206090947e-06,3.0,1530,,,,,,,,,,,
,,,3.0,1530,0.9545084834098816,0.5817756713646135,0.5953062392673154,26.3766,66.233,4.17,,,,,
0.3515887092141544,25.03658676147461,4.2636629119733e-06,4.0,2040,,,,,,,,,,,
,,,4.0,2040,1.1609992980957031,0.5916973330661626,0.607899255867201,26.3461,66.31,4.175,,,,,
0.23704437555051316,11.530713081359863,8.343763037129746e-09,5.0,2550,,,,,,,,,,,
,,,5.0,2550,1.3215103149414062,0.5897146385644755,0.6027475672581568,26.3245,66.364,4.179,,,,,
,,,5.0,2550,,,,,,,2350.2489,17.341,1.085,5361593669752320.0,0.5732147545908012
