Model | Split,accuracy,f1_macro,f1_weighted
BERT Fine-tune | val,0.6067544361763022,0.5907447134135843,0.6060277664735578
BERT Fine-tune | test,0.5861476817401259,0.5717185999573592,0.5861578532934918
TF-IDF + LogReg | test,0.5666857469948483,0.5562442305876908,0.5673826258726723
TF-IDF + LogReg | val,0.5609616485403549,0.5467100602288075,0.5615698149039601
GloVe BiLSTM | test,0.5529479107040641,0.5309573370160315,0.5499840212220938
GloVe MLP | test,0.5535203205495135,0.5275287803351948,0.5414860087504203
GloVe CNN | test,0.5592444190040069,0.5268462978092501,0.5473393588088188
TF-IDF + XGBoost | test,0.5569547796222095,0.5241236483999642,0.54549900641377
TF-IDF + XGBoost | val,0.53921007441328,0.5060800562863635,0.5285098363154336
Majority Baseline | test,0.41614195764167144,0.19590406898410131,0.24457170833103892
