Model | Split,accuracy,f1_macro,f1_weighted,loss
DeBERTaV3_train_pool | test,0.7791026978685348,0.7510812492382728,0.7760556709086348,0.5336738107592773
DeBERTaV3_train_pool | val,0.7758235206439111,0.7472642374252682,0.7729281844657435,0.5425933509103785
DistilBERT_train_pool | test,0.7746310925622298,0.7430667400906253,0.7720896637566615,
DistilBERT_train_pool | val,0.7677746310925623,0.7371779636790571,0.7648968334776791,
RoBERTa_train_pool | val,0.7655388284394098,0.7330615540945518,0.7626462251487529,
RoBERTa_train_pool | test,0.7676255775823521,0.7297663021875974,0.7644717465447768,
LC | TF-IDF + SVC | train_pool,,0.6715812296572087,,
TF-IDF + SVC [train_pool] | val,0.7033835146817707,0.6715812296572087,0.7031439429213354,
TF-IDF + SVC [train_pool] | test,0.7002533909673573,0.6686789738725382,0.699786931830328,
LC | TF-IDF + LogReg | train_pool,,0.6638297278844316,,
TF-IDF + LogReg [train_pool] | val,0.687434789089283,0.6638297278844316,0.690419988715249,
TF-IDF + LogReg [train_pool] | test,0.6835593978238188,0.6607874127954448,0.6863970572448843,
GloVe BiLSTM [train_pool] | test,0.6926516619466389,0.6551661294897166,0.6923209903034657,
GloVe BiLSTM [train_pool] | val,0.682963183782978,0.6450992102932628,0.6830474215229027,
LC | GloVe BiLSTM | train_pool,,0.6450992102932628,,
GloVe CNN [train_pool] | test,0.6795349530481443,0.6388266463257223,0.6766999349479854,
GloVe CNN [train_pool] | val,0.6744671337009986,0.6303509816605484,0.6712168813094422,
LC | GloVe CNN | train_pool,,0.6303509816605484,,
LC | GloVe MLP | train_pool,,0.5989057106653234,,
GloVe MLP [train_pool] | val,0.654941123863467,0.5989057106653234,0.6457117995420596,
GloVe MLP [train_pool] | test,0.6527053212103145,0.5964460940300637,0.6426749637907794,
LC | TF-IDF + XGBoost | train_pool,,0.5511682982723338,,
TF-IDF + XGBoost [train_pool] | val,0.6838575048442391,0.5511682982723338,0.6471030135091829,
TF-IDF + XGBoost [train_pool] | test,0.673870919660158,0.534220517963146,0.6343891751219696,
Majority Class [train_pool] | test,0.5447905798181547,0.2351087096359192,0.3842550307285518,
LC | Majority Class | train_pool,,0.2351087096359192,,
Majority Class [train_pool] | val,0.5447905798181547,0.2351087096359192,0.3842550307285518,
