text,source
"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.",tweet_emotions
cant fall asleep,tweet_emotions
No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,tweet_emotions
@cynthia_123 i cant sleep,tweet_emotions
I missed the bl***y bus!!!!!!!!,tweet_emotions
feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,tweet_emotions
SoCal!  stoked. or maybe not.. tomorrow,tweet_emotions
Screw you @davidbrussee! I only have 3 weeks...,tweet_emotions
has work this afternoon,tweet_emotions
@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,tweet_emotions
"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",tweet_emotions
wnna take a bath!!!!,tweet_emotions
Chocolate milk is so much better through a straw. I lack said straw,tweet_emotions
"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",tweet_emotions
@benballer  no way! damn that sucks B!  are you ok?,tweet_emotions
@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,tweet_emotions
@lostluna But I got dibs on Sulu...,tweet_emotions
At home alone with not much to do,tweet_emotions
I cant give @jertronic any bday nudges.,tweet_emotions
Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,tweet_emotions
says I miss plurking.  http://plurk.com/p/wxion,tweet_emotions
I miss Voobys!,tweet_emotions
@Dancing_Monk Neither are ELP!!,tweet_emotions
there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,tweet_emotions
@lepetitagneau what's going on sweetheart?,tweet_emotions
"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",tweet_emotions
@willxxmobb work at 6am. Gotta go to bed soon,tweet_emotions
PrinceCharming,tweet_emotions
Oh is that time for real?,tweet_emotions
@justamedicine  That was stone cold   Crazy....  ?,tweet_emotions
shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,tweet_emotions
@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.,tweet_emotions
@thecreativeone I second that. I wish it rained more where I am,tweet_emotions
damn it were is Eric or anyone else when you need your hair to be played with,tweet_emotions
I'm feel deflated. Ugh. No more dog.,tweet_emotions
Well it almost was a good day... Guess I just retry tomorrow,tweet_emotions
@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,tweet_emotions
"claire @breakfastnt love the show, got into the office @ 5am and no radio",tweet_emotions
What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,tweet_emotions
@jwillock EpiCentre Wheelock Place - tourists only..,tweet_emotions
miss 16'th,tweet_emotions
"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff.",tweet_emotions
@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby,tweet_emotions
what is it with chocolates? i just can never say no,tweet_emotions
@ether_radio i'm too awake now  ill have a nap this afternoon,tweet_emotions
still needs another 6 hours of sleep,tweet_emotions
"Morning tweeple,way to early again",tweet_emotions
"where are all ma bestfriends at ? , MIA or wat ?",tweet_emotions
