model,split_key,train_size,f1_macro
Majority Class,sentiment_60k,58655,0.036830589190420086
TF-IDF + LogReg,sentiment_1k,1000,0.6628990819812944
TF-IDF + LogReg,sentiment_5k,5000,0.8923699850197291
TF-IDF + LogReg,sentiment_10k,10000,0.9204359889847249
TF-IDF + LogReg,sentiment_30k,30000,0.9391322650581403
TF-IDF + LogReg,sentiment_60k,58655,0.9429189939762802
TF-IDF + SVC,sentiment_1k,1000,0.7001681741631451
TF-IDF + SVC,sentiment_5k,5000,0.9147324041913337
TF-IDF + SVC,sentiment_10k,10000,0.9315942427245947
TF-IDF + SVC,sentiment_30k,30000,0.9458723878127883
TF-IDF + SVC,sentiment_60k,58655,0.9481358595320524
TF-IDF + XGBoost,sentiment_1k,1000,0.6158866629263579
TF-IDF + XGBoost,sentiment_5k,5000,0.8909148376203537
TF-IDF + XGBoost,sentiment_10k,10000,0.9193298708632672
TF-IDF + XGBoost,sentiment_30k,30000,0.9331848583730356
TF-IDF + XGBoost,sentiment_60k,58655,0.9354055249122013
