Model | Split,accuracy,f1_macro,f1_weighted
DistilBERT_60k | test,0.976036866359447,0.9759652821941509,0.9759652821941509
DistilBERT_60k | val,0.9754992319508449,0.975430376084535,0.9754303760845349
GloVe BiLSTM [sentiment_60k] | test,0.9671274961597542,0.9670242881862683,0.9670242881862683
LC | GloVe BiLSTM | sentiment_60k,,0.9654764817012162,
GloVe BiLSTM [sentiment_60k] | val,0.9655913978494624,0.9654764817012162,0.9654764817012162
LC | GloVe CNN | sentiment_60k,,0.9620231610185426,
GloVe CNN [sentiment_60k] | val,0.9622119815668203,0.9620231610185426,0.9620231610185425
GloVe CNN [sentiment_60k] | test,0.9621351766513057,0.9620145031162464,0.9620145031162466
GloVe BiLSTM [sentiment_30k] | test,0.9582181259600614,0.9581852957196096,0.9581852957196098
GloVe BiLSTM [sentiment_30k] | val,0.9579877112135177,0.957919501754611,0.9579195017546112
LC | GloVe BiLSTM | sentiment_30k,,0.957919501754611,
GloVe CNN [sentiment_10k] | test,0.956605222734255,0.9564694634066692,0.9564694634066693
GloVe CNN [sentiment_30k] | val,0.9555299539170506,0.9555007783832442,0.9555007783832443
LC | GloVe CNN | sentiment_30k,,0.9555007783832442,
GloVe CNN [sentiment_10k] | val,0.9552227342549923,0.9550450918158652,0.955045091815865
LC | GloVe CNN | sentiment_10k,,0.9550450918158652,
GloVe CNN [sentiment_30k] | test,0.9543010752688172,0.954353097734997,0.9543530977349968
GloVe CNN [sentiment_5k] | val,0.9532258064516129,0.9530575337664405,0.9530575337664404
LC | GloVe CNN | sentiment_5k,,0.9530575337664405,
GloVe CNN [sentiment_5k] | test,0.9504608294930875,0.9503832908709429,0.9503832908709426
LC | TF-IDF + SVC | sentiment_60k,,0.9491473788379753,
TF-IDF + SVC [sentiment_60k] | val,0.9493087557603687,0.9491473788379753,0.9491473788379753
GloVe CNN [sentiment_1k] | test,0.9490015360983103,0.9488035382450457,0.9488035382450456
TF-IDF + SVC [sentiment_60k] | test,0.9489247311827957,0.9487979882341842,0.948797988234184
LC | GloVe CNN | sentiment_1k,,0.9487636332523943,
GloVe CNN [sentiment_1k] | val,0.9490015360983103,0.9487636332523943,0.9487636332523942
TF-IDF + SVC [sentiment_30k] | test,0.9470814132104455,0.946908372948767,0.946908372948767
LC | GloVe BiLSTM | sentiment_5k,,0.9451332585421799,
GloVe BiLSTM [sentiment_5k] | val,0.9453917050691244,0.9451332585421799,0.9451332585421798
TF-IDF + SVC [sentiment_30k] | val,0.9445468509984639,0.9443255711014338,0.944325571101434
LC | TF-IDF + SVC | sentiment_30k,,0.9443255711014338,
LC | TF-IDF + LogReg | sentiment_60k,,0.9442615531525617,
TF-IDF + LogReg [sentiment_60k] | val,0.9444700460829493,0.9442615531525617,0.9442615531525618
GloVe BiLSTM [sentiment_5k] | test,0.9440860215053763,0.9439314059970554,0.9439314059970554
TF-IDF + LogReg [sentiment_60k] | test,0.9437019969278034,0.9435294035718281,0.9435294035718282
TF-IDF + LogReg [sentiment_30k] | test,0.9404761904761905,0.9402694555038501,0.9402694555038502
