Model | Split,accuracy,f1_macro,f1_weighted
TF-IDF + SVC [sentiment_60k] | test,0.9492442322991249,0.949576910281132,0.9490672471522484
TF-IDF + SVC [sentiment_60k] | val,0.947967220940409,0.9481358595320524,0.9477924250992419
TF-IDF + SVC [sentiment_30k] | test,0.9468575974542561,0.9470741310263605,0.9466720935437613
TF-IDF + SVC [sentiment_30k] | val,0.9458986395099053,0.9458723878127883,0.9457280266184073
TF-IDF + LogReg [sentiment_60k] | test,0.9448687350835322,0.9449780056439787,0.9446635709547136
TF-IDF + LogReg [sentiment_60k] | val,0.9428753281884,0.9429189939762802,0.9426873089045348
TF-IDF + LogReg [sentiment_30k] | test,0.9401750198886237,0.9401612823584031,0.9399408761360721
TF-IDF + LogReg [sentiment_30k] | val,0.9392155302728936,0.9391322650581403,0.9389540354189839
TF-IDF + XGBoost [sentiment_60k] | test,0.9381066030230708,0.9384589690174646,0.9378263094073093
TF-IDF + SVC [sentiment_10k] | test,0.9352426412092283,0.9355229270003115,0.9349123367865539
TF-IDF + XGBoost [sentiment_60k] | val,0.9351579282361365,0.9354055249122013,0.9348793586085856
TF-IDF + XGBoost [sentiment_30k] | test,0.9344470962609387,0.9348348959306881,0.9340983310092806
TF-IDF + XGBoost [sentiment_30k] | val,0.9328506643328824,0.9331848583730356,0.9325353040552998
TF-IDF + SVC [sentiment_10k] | val,0.93141856949638,0.9315942427245947,0.9310964550761279
TF-IDF + LogReg [sentiment_10k] | test,0.9222752585521082,0.92239008573985,0.9218185077454452
TF-IDF + LogReg [sentiment_10k] | val,0.9204391757498608,0.9204359889847249,0.9200175060363786
TF-IDF + XGBoost [sentiment_10k] | val,0.9187683984406079,0.9193298708632672,0.9183883696627274
TF-IDF + XGBoost [sentiment_10k] | test,0.9175019888623708,0.9182374507849893,0.9170885537121607
TF-IDF + SVC [sentiment_5k] | val,0.9146312355796006,0.9147324041913337,0.9141046703039006
TF-IDF + SVC [sentiment_5k] | test,0.9137629276054097,0.9141371547437526,0.9131998492061076
TF-IDF + LogReg [sentiment_5k] | test,0.8936356404136834,0.8937654680491616,0.8928224062481316
TF-IDF + LogReg [sentiment_5k] | val,0.8921155223168112,0.8923699850197291,0.8915318392382906
TF-IDF + XGBoost [sentiment_5k] | val,0.8898878192378074,0.8909148376203537,0.8895833479641926
TF-IDF + XGBoost [sentiment_5k] | test,0.8842482100238663,0.8854609515610552,0.883846071013604
TF-IDF + SVC [sentiment_1k] | test,0.709466984884646,0.7084936274042161,0.7043796756335388
TF-IDF + SVC [sentiment_1k] | val,0.7009308616437266,0.7001681741631451,0.696237861368005
TF-IDF + LogReg [sentiment_1k] | test,0.6684964200477327,0.6692371126068226,0.6640202335903107
TF-IDF + LogReg [sentiment_1k] | val,0.6618664969369082,0.6628990819812944,0.6577265766680166
TF-IDF + XGBoost [sentiment_1k] | val,0.6078446972710637,0.6158866629263579,0.610370630988163
TF-IDF + XGBoost [sentiment_1k] | test,0.6068416865552904,0.6138805726088448,0.6090705315694391
Majority Class [sentiment_60k] | val,0.14798313310525896,0.036830589190420086,0.03815214187757734
Majority Class [sentiment_60k] | test,0.14797136038186157,0.03682803682803683,0.03814646296746536
