Model | Split,accuracy,f1_macro,f1_weighted
BERT Fine-tune | test,0.9730286738351255,0.9729565430121055,0.9729565430121057
GloVe BiLSTM | test,0.9724014336917562,0.9723610668903615,0.9723610668903615
BERT Fine-tune | val,0.9715053763440861,0.9714389598559957,0.9714389598559955
GloVe CNN | test,0.9563620071684588,0.956323820110356,0.956323820110356
TF-IDF + LogReg | test,0.9389784946236559,0.93885001484627,0.93885001484627
TF-IDF + LogReg | val,0.9369175627240144,0.9367250029839584,0.9367250029839584
TF-IDF + XGBoost | test,0.9227598566308244,0.9222678579962881,0.9222678579962881
TF-IDF + XGBoost | val,0.921594982078853,0.9210194586689413,0.9210194586689413
GloVe MLP | test,0.9146057347670251,0.9144160864598807,0.9144160864598808
Majority Baseline | test,0.16666666666666666,0.047619047619047616,0.04761904761904762
